state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
Nevada,2008,43.1,21.9,27.2,56361,7.2233,2600167,50.9,35.9,77.3,0.2366790521597636,59
New Hampshire,2008,41.9,33.3,38.9,63731,7.9659,1315809,49.2,40.3,94.8,1.4695613343523315,73.3
New Jersey,2008,46.2,34.4,39.3,70378,9.3872,8682661,49,38.7,70.8,11.805390125377274,59.1
New Mexico,2008,46,24.7,33.8,43508,5.9357,1984356,49.4,36,73.4,0.163573583252052,64.8
New York,2008,50.3,31.9,37.3,56033,8.1663,19490297,48.5,38,67.2,4.13600918819504,79.5
North Carolina,2008,46.300000000000004,26.1,33.9,46549,6.3005,9222414,48.9,37,70.4,1.8967133671904963,51.4
North Dakota,2008,45.1,26.9,34.5,45685,6.1178,641481,50.3,37,91,0.09297599659601366,41.9
Ohio,2008,45,24.1,33.2,47988,6.2728,11485910,48.8,38.2,84.1,2.811126754831022,49.7
Oklahoma,2008,45.800000000000004,22.2,31.9,42822,5.7894,3642361,49.3,36.3,75.8,0.5309834012717238,40
Oregon,2008,44.7,28.1,34.5,50169,6.5292,3790060,49.7,38,86.7,0.39481450091488296,99.2
Pennsylvania,2008,45.7,26.3,35,50713,6.7459,12448279,48.7,40,83.8,2.78222281797153,64
Rhode Island,2008,46,30,36,55701,7.2678,1050788,48.2,38.8,83.2,10.16343889140409,73.7
South Carolina,2008,46.400000000000006,23.7,31.9,44625,5.9942,4479800,48.6,37.6,67.5,1.4900725373851023,44.5
South Dakota,2008,44.6,25.1,34.2,46032,6.0081,804194,49.9,37.6,87.1,0.10608240471908044,37.3
Tennessee,2008,47.099999999999994,22.9,32.2,43614,5.9975,6214888,48.7,37.7,79.4,1.5072751117689032,52.7
Texas,2008,47.4,25.3,33.1,50043,6.9324,24326974,49.9,33.2,73.9,0.9311111463856637,52
Utah,2008,41.099999999999994,29.1,34.6,56633,7.1271,2736424,50.4,28.7,91,0.33218360041127165,59.4
Vermont,2008,43.4,32.1,37.6,52104,6.6463,621270,49.1,41.5,95.9,0.6740296146309146,96.4
Virginia,2008,46,33.7,40.4,61233,8.2962,7769089,49.2,37.5,70.8,1.9677489084919486,44.3
Washington,2008,44.2,30.7,37.2,58078,7.545,6549224,49.9,37.3,80.4,0.9855051379852084,87.1
West Virginia,2008,45.300000000000004,17.1,29.8,37989,5.0166,1814468,48.9,40.6,94.4,0.7547342060925145,41.4
Wisconsin,2008,42.6,25.7,32.7,52094,6.5937,5627968,49.7,38.2,88.4,1.0389998563848115,59.4
Wyoming,2008,44.1,23.6,29.8,53207,6.9976,532668,50.6,36.6,91.9,0.05486402814086848,62.1
Alabama,2009,47.099999999999994,22,32,40489,5.5543,4708708,48.4,37.4,70,0.9297086576288502,37.6
Alaska,2009,40.2,26.6,34.2,66953,8.1471,698473,51.6,32.6,68.3,0.01223195858001589,61.1
Arizona,2009,45.1,25.6,33.8,48745,6.4591,6595778,50.1,34.9,80,0.580335508514159,59.4
Arkansas,2009,46.1,18.9,30.3,37823,5.1324,2889450,48.9,37.1,78.4,0.5557402703645948,44
